Артикул распродажи,Наименование,Бренд,Модель,Полная цена,Обычная цена,Цена распродажи,Скидка в %,Описание,Ссылка на товар,Изображение уцененного,Обычное изображение
425462673,Brayer,Электрочайник,BR1013,75.0,63.75,63.75,15,"Новый, скол на корпусе, полная гарантия.",https://www.21vek.by/teapots/br1013_brayer.html,https://cdn21vek.by/img/galleries/6183/268/sale/4186164/preview/6982008652884953733.jpg,https://cdn21vek.by/img/galleries/6183/268/preview/br1013_brayer_5f6c2ddb30531.png
425421573,Samsung,Смартфон,Galaxy A03 Core Dual Sim / SM-A032FZBDSER (синий),299.0,224.25,224.25,25,"Был в эксплуатации, после сервисного обслуживания (смена ПО), царапины. Гарантия до 29.03.2023г.",https://www.21vek.by/mobile/galaxya03coresma032fzbdser_samsung.html,https://cdn21vek.by/img/galleries/65575/409/sale/4131722/preview/4379787998903773301.jpg,https://cdn21vek.by/img/galleries/65575/409/preview/galaxya03coresma032fzbdser_samsung_61a7364783c1c.jpeg
425421828,Samsung,Смартфон,Galaxy A03 Core Dual Sim / SM-A032FZBDSER (синий),299.0,224.25,224.25,25,"Был в эксплуатации, после сервисного обслуживания (смена ПО, замена  платы), потертости. Гарантия до 04.04.2023г.",https://www.21vek.by/mobile/galaxya03coresma032fzbdser_samsung.html,https://cdn21vek.by/img/galleries/65575/409/sale/4131724/preview/876474010671659180.jpg,https://cdn21vek.by/img/galleries/65575/409/preview/galaxya03coresma032fzbdser_samsung_61a7364783c1c.jpeg
425463138,Kitfort,Вертикальный пылесос,KT-510,109.0,65.4,65.4,40,"Был в эксплуатации, после сервисного обслуживания (замена мотора), царапины, загрязнения, нет заводской упаковки, гарантия 3 месяца.",https://www.21vek.by/vacuum/kt510_kitfort.html,https://cdn21vek.by/img/galleries/113/796/sale/4187809/preview/8031678104898811312.jpg,https://cdn21vek.by/img/galleries/113/796/preview/kt510_kitfort_62611623d9636.jpeg
425463478,Kitfort,Вертикальный пылесос,KT-510,109.0,65.4,76.3,40,"Был в эксплуатации, после сервисного обслуживания (ремонт двигателя), царапины, загрязнения, гарантия по 16.03.2023г.",https://www.21vek.by/vacuum/kt510_kitfort.html,https://cdn21vek.by/img/galleries/113/796/sale/4177023/preview/1075627988448119428.jpg,https://cdn21vek.by/img/galleries/113/796/preview/kt510_kitfort_62611623d9636.jpeg
425466128,Kitfort,Вертикальный пылесос,KT-510,109.0,65.4,76.3,40,"Был в эксплуатации, после сервисного обслуживания (замена защёлки ручки), царапины, загрязнения, гарантия по 03.01.2023г.",https://www.21vek.by/vacuum/kt510_kitfort.html,https://cdn21vek.by/img/galleries/113/796/sale/4147883/preview/690682720775132668.jpg,https://cdn21vek.by/img/galleries/113/796/preview/kt510_kitfort_62611623d9636.jpeg
425462358,Vitek,Кофеварка эспрессо,VT-1514 BK,619.0,464.25,464.25,25,"Была в эксплуатации, царапины, загрязнения, гарантия по 30.04.2023г.",https://www.21vek.by/coffee_machines/vitek_vt1514bk.html,https://cdn21vek.by/img/galleries/62/781/sale/4184612/preview/5496506379167362372.jpg,https://cdn21vek.by/img/galleries/62/781/preview/vitek_vt1514bk_52fcdd7a929be.jpeg
425452663,Gezatone,Аппарат для чистки лица,Bio Sonic 770S / 1301231,120.0,90.0,90.0,25,"Был в эксплуатации, после сервиса, царапины, гарантия до 28.12.2022г.",https://www.21vek.by/face_apps/biosonic770s1301231_gezatone.html,https://cdn21vek.by/img/galleries/6077/13/sale/4178554/preview/8603249297507980885.jpg,https://cdn21vek.by/img/galleries/6077/13/preview/biosonic770s1301231_gezatone_5fa0e442ab899.jpeg
425442008,Vitek,Утюг,VT-1234 W,99.0,59.4,59.4,40,"Был в эксплуатации, после сервисного обслуживания (замена модуля), царапины, загрязнения, гарантия по 23.12.2022г.",https://www.21vek.by/irons/vt1234_vitek.html,https://cdn21vek.by/img/galleries/677/367/sale/4161148/preview/8781041277459745783.jpg,https://cdn21vek.by/img/galleries/677/367/preview/vt1234_vitek_5bebf7fcb25d9.jpeg
425464278,360,Робот-пылесос,Robot Vacuum Cleaner C50-1,499.0,349.3,349.3,30,"Был в эксплуатации, после сервисного обслуживания, царапины, загрязнения. Гарантия до 07.03.2023г.",https://www.21vek.by/robotic_vacuums/robotvacuumcleanerc501.html,https://cdn21vek.by/img/galleries/6785/594/sale/4191828/preview/7661453205710952392.jpg,https://cdn21vek.by/img/galleries/6785/594/preview/robotvacuumcleanerc501_613078c151610.jpeg
425447753,Xiaomi,Робот-пылесос,Mi Robot Vacuum-Mop / SKV4093GL,899.0,440.51,440.51,51,"Был в эксплуатации, после сервисного обслуживания, царапины, загрязнения, нет контейнера для влажной уборки. Гарантия 1 месяц.",https://www.21vek.by/robotic_vacuums/mirobotvacuummopskv4093gl_xiaomi.html,https://cdn21vek.by/img/galleries/5932/91/sale/4058971/preview/7193745920343889589.jpg,https://cdn21vek.by/img/galleries/5932/91/preview/mirobotvacuummopskv4093gl_xiaomi_5e6b92e429ac6.jpeg
425449528,Xiaomi,Робот-пылесос,Mi Robot Vacuum-Mop / SKV4093GL,899.0,440.51,584.35,51,"Был в эксплуатации, после сервисного обслуживания, царапины, загрязнения. Гарантия до 28.07.2022г.",https://www.21vek.by/robotic_vacuums/mirobotvacuummopskv4093gl_xiaomi.html,https://cdn21vek.by/img/galleries/5932/91/sale/4179361/preview/1516111607632868733.jpg,https://cdn21vek.by/img/galleries/5932/91/preview/mirobotvacuummopskv4093gl_xiaomi_5e6b92e429ac6.jpeg
425444568,Sundays,Батут,Champion-D252,529.0,396.75,396.75,25,"Новый, нет защитной сетки, болтов для сборки.",https://www.21vek.by/tramps/championd252_sundays.html,https://cdn21vek.by/img/galleries/414/423/sale/4165429/preview/2069075112406026184.jpg,https://cdn21vek.by/img/galleries/414/423/preview/championd252_sundays_58d4c22c584a4.jpeg
425449198,Little Doctor,Тонометр,LD51A,121.27,97.02,97.02,20,"Новый, нет блока питания, упаковка нетоварного вида.",https://www.21vek.by/blood_pressure_monitors/ld51a_little_doctor.html,https://cdn21vek.by/img/galleries/635/993/sale/4178564/preview/7797660966490235783.jpg,https://cdn21vek.by/img/galleries/635/993/preview/ld51a_little_doctor_5b476175650ad.jpeg
425442158,Kitfort,Отпариватель,KT-929-3,113.0,84.75,84.75,25,"Был в эксплуатации, царапины, загрязнения, гарантия по 22.04.2023г.",https://www.21vek.by/garment_steamers/kt9293_kitfort.html,https://cdn21vek.by/img/galleries/5733/273/sale/4161087/preview/7111602493825549193.jpg,https://cdn21vek.by/img/galleries/5733/273/preview/kt9293_kitfort_5da6c7318024a.jpeg
425468433,Realme,Смартфон,C21Y 4/64GB / RMX3263 (голубой),469.0,367.2,367.2,22,"Был в эксплуатации, после сервисного обслуживания (смена ПО), потертости. Гарантия до 30.04.2023г.",https://www.21vek.by/mobile/c21y464gbrmx3263crossblue_realme.html,https://cdn21vek.by/img/galleries/65585/18/sale/4200697/preview/552836783674099.jpg,https://cdn21vek.by/img/galleries/65585/18/preview/c21y464gbrmx3263crossblue_realme_61af00f6b7bb2.jpeg
425448703,Оскольская керамика,Унитаз напольный,Суперкомпакт,282.0,169.2,197.4,30,Товар новый. Разбита крышка бачка,https://www.21vek.by/wc_pans/oskolskaya_keramika_090.html,https://cdn21vek.by/img/galleries/6116/92/sale/4178260/preview/226544281672440265.jpg,https://cdn21vek.by/img/galleries/6116/92/preview/oskolskaya_keramika_090_61b1c9df6c099.jpeg
425466138,Оскольская керамика,Унитаз напольный,Суперкомпакт,282.0,169.2,169.2,30,Товар новый.  Трещина на задней части у основания,https://www.21vek.by/wc_pans/oskolskaya_keramika_090.html,https://cdn21vek.by/img/galleries/6116/92/sale/4169813/preview/6144440104028709569.jpg,https://cdn21vek.by/img/galleries/6116/92/preview/oskolskaya_keramika_090_61b1c9df6c099.jpeg
425450078,Ukinox,Мойка кухонная,STD600.600 4C 0L,75.6,48.3,48.3,36,Вмятины,https://www.21vek.by/sinks/std6006004c0l_ukinox.html,https://cdn21vek.by/img/galleries/380/471/sale/4181286/preview/6971762229677300658.jpg,https://cdn21vek.by/img/galleries/380/471/preview/std6006004c0l_ukinox_6020e188aaa60.jpeg
425446603,Evolution,Электробритва,Powered by Enchen Warrior,59.0,34.3,34.3,42,"Была в эксплуатации, после сервисного обслуживания, потертости. Гарантия до 26.04.2023г.",https://www.21vek.by/shavers/poweredbyenchenwarrior_evolution.html,https://cdn21vek.by/img/galleries/6416/266/sale/4172862/preview/1696933536552936119.jpg,https://cdn21vek.by/img/galleries/6416/266/preview/poweredbyenchenwarrior_evolution_604f2aedc8a5f.jpeg
425464293,Xiaomi,Усилитель беспроводного сигнала,Mi Wi-Fi Range Extender Pro / DVB4235GL,59.0,41.3,41.3,30,"Был в эксплуатации, после сервисного обслуживания. Гарантия до 26.04.2023г.",https://www.21vek.by/wap/miwifirangeextenderprodvb4235gl_xiaomi.html,https://cdn21vek.by/img/galleries/5962/720/sale/4191911/preview/6453268238683966366.jpg,https://cdn21vek.by/img/galleries/5962/720/preview/miwifirangeextenderprodvb4235gl_xiaomi_5ebbb22484497.jpeg
425418398,Chi Lok Bo,Каталка детская,Мерседес AMG 3288,249.0,125.37,125.37,50,"Новая, правого и левого перила, потертости. Без гарантии",https://www.21vek.by/ride_on_toys/amg3288w_chi_lok_bo.html,https://cdn21vek.by/img/galleries/779/464/sale/4127810/preview/663844413885713475.jpg,https://cdn21vek.by/img/galleries/779/464/preview/amg3288w_chi_lok_bo_5bfb97567cada.jpeg
425447023,Yhmed,Матрас противопролежневый,"Ячеистый 2.8"" / QDC-303",128.0,108.8,108.8,15,"Новый, в комплекте нет ремкомплекта",https://www.21vek.by/anti_bedsore_mattresses/28qdc303_yhmed.html,https://cdn21vek.by/img/galleries/6426/109/sale/4171427/preview/3633020387952832466.jpg,https://cdn21vek.by/img/galleries/6426/109/preview/28qdc303_yhmed_604f26c0081b5.jpeg
425467033,Arena,Велосипед,Storm 2021,599.0,479.2,479.2,20,"Был в эксплуатации, после сервиса, царапины, сколы эмали, повреждения на ручке, гарантия до 04.05.2023г.",https://www.21vek.by/bikes/storm2021_arena_05.html,https://cdn21vek.by/img/galleries/6318/189/sale/4196738/preview/1098444080087544440.jpg,https://cdn21vek.by/img/galleries/6318/189/preview/storm2021_arena_05_611a47308e420.jpeg
425465093,Kitfort,Электрическая настольная плита,KT-109,318.0,206.7,206.7,35,"Была в эксплуатации, после сервисного обслуживания (ремонт платы управления), царапины, трещина на корпусе, загрязнения, гарантия по 12.01.2023г.",https://www.21vek.by/table_cookers/kt109_kitfort.html,https://cdn21vek.by/img/galleries/401/153/sale/4194535/preview/4871698135521714793.jpg,https://cdn21vek.by/img/galleries/401/153/preview/kt109_kitfort_626a3a5dd7a53.jpeg
425441413,Arena,Велосипед,Crystal 2.0 2021,499.0,449.1,449.1,10,"Новый, царапины.",https://www.21vek.by/bikes/crystal202021_arena_01.html,https://cdn21vek.by/img/galleries/6318/126/sale/4132722/preview/1394299104357950925.jpg,https://cdn21vek.by/img/galleries/6318/126/preview/crystal202021_arena_01_611e8807badff.jpeg
425443118,Arena,Велосипед,Crystal 2.0 2021,499.0,449.1,449.1,10,"Новый, царапины.",https://www.21vek.by/bikes/crystal202021_arena_01.html,https://cdn21vek.by/img/galleries/6318/126/sale/4162623/preview/6442738084774690194.jpg,https://cdn21vek.by/img/galleries/6318/126/preview/crystal202021_arena_01_611e8807badff.jpeg
425443668,Arena,Велосипед,Crystal 2.0 2021,499.0,449.1,449.1,10,"Новый, царапины, вмятина на заднем щитке.",https://www.21vek.by/bikes/crystal202021_arena_01.html,https://cdn21vek.by/img/galleries/6318/126/sale/4162851/preview/3446396065350571002.jpg,https://cdn21vek.by/img/galleries/6318/126/preview/crystal202021_arena_01_611e8807badff.jpeg
425450818,Arena,Велосипед,Crystal 2.0 2021,499.0,449.1,449.1,10,"Новый, сколы эмали.",https://www.21vek.by/bikes/crystal202021_arena_01.html,https://cdn21vek.by/img/galleries/6318/126/sale/4182305/preview/8861690686314253236.jpg,https://cdn21vek.by/img/galleries/6318/126/preview/crystal202021_arena_01_611e8807badff.jpeg
425464423,Arena,Велосипед,Crystal 2.0 2021,499.0,449.1,449.1,10,"Новый, царапины.",https://www.21vek.by/bikes/crystal202021_arena_01.html,https://cdn21vek.by/img/galleries/6318/126/sale/4192237/preview/4589017627766781291.jpg,https://cdn21vek.by/img/galleries/6318/126/preview/crystal202021_arena_01_611e8807badff.jpeg
425421173,Maxwell,Электрогриль,MW-1960 ST,219.9,178.12,178.12,19,"Новый, царапины на верхней пластине, полная гарантия.",https://www.21vek.by/grill/mw1960st_maxwell.html,https://cdn21vek.by/img/galleries/390/964/sale/4131105/preview/7423696182112729084.jpg,https://cdn21vek.by/img/galleries/390/964/preview/mw1960st_maxwell_57e3c63fe1789.jpeg
425436393,Maxwell,Электрогриль,MW-1960 ST,219.9,178.12,178.12,19,"Новый, царапины на пластинах, полная гарантия.",https://www.21vek.by/grill/mw1960st_maxwell.html,https://cdn21vek.by/img/galleries/390/964/sale/4153586/preview/4347405872453659404.jpg,https://cdn21vek.by/img/galleries/390/964/preview/mw1960st_maxwell_57e3c63fe1789.jpeg
425441528,Универсал,Ванна чугунная,Классик-У 150x70,966.0,502.32,502.32,48,Трещины на эмали внутри ванны. Гарантия 3 месяца.,https://www.21vek.by/bathtubs/universal_150x70.html,https://cdn21vek.by/img/galleries/67/434/sale/3947298/preview/8635602377375408579.jpg,https://cdn21vek.by/img/galleries/67/434/preview/universal_150x70_5d0cc90f85c7b.jpeg
425211303,Scarlett,Масляный радиатор,SC 21.2009 S4,184.0,92.22,92.22,50,"Новый, вмятина.",https://www.21vek.by/heaters/sc212009s4_scarlett.html,https://cdn21vek.by/img/galleries/6940/123/sale/4037604/preview/3974092068130791790.jpg,https://cdn21vek.by/img/galleries/6940/123/preview/sc212009s4_scarlett_61532cde15900.jpeg
425358013,Scarlett,Масляный радиатор,SC 21.2009 S4,184.0,92.22,103.35,50,"Новый, погнуты секции.",https://www.21vek.by/heaters/sc212009s4_scarlett.html,https://cdn21vek.by/img/galleries/6940/123/sale/4105377/preview/2121945425968037952.jpg,https://cdn21vek.by/img/galleries/6940/123/preview/sc212009s4_scarlett_61532cde15900.jpeg
425443158,Scarlett,Масляный радиатор,SC 21.2009 S4,184.0,92.22,127.2,50,"Новый, согнута секция, сколы эмали.",https://www.21vek.by/heaters/sc212009s4_scarlett.html,https://cdn21vek.by/img/galleries/6940/123/sale/4162811/preview/7014148134982959450.jpg,https://cdn21vek.by/img/galleries/6940/123/preview/sc212009s4_scarlett_61532cde15900.jpeg
425446428,Halmar,Журнальный столик,Mariffa,79.0,55.3,55.3,30,"Новый, повреждения на столешнице",https://www.21vek.by/coffee_tables/mariffa_halmar.html,https://cdn21vek.by/img/galleries/616/503/sale/4172583/preview/8350449337427300613.jpg,https://cdn21vek.by/img/galleries/616/503/preview/mariffa_halmar_5d1323006595d.jpeg
425449483,Halmar,Журнальный столик,Mariffa,79.0,55.3,63.2,30,"Новый, мелкий скол на столешнице",https://www.21vek.by/coffee_tables/mariffa_halmar.html,https://cdn21vek.by/img/galleries/616/503/sale/4179236/preview/2975215538422385700.jpg,https://cdn21vek.by/img/galleries/616/503/preview/mariffa_halmar_5d1323006595d.jpeg
425445488,Vitek,Отпариватель,VT-2440,149.0,104.3,104.3,30,"Был в эксплуатации, после сервисного обслуживания (прокачка помпы), царапины, загрязнения, гарантия по 20.04.2023г.",https://www.21vek.by/garment_steamers/vt2440_vitek.html,https://cdn21vek.by/img/galleries/6885/347/sale/4167936/preview/4801738655483633751.jpg,https://cdn21vek.by/img/galleries/6885/347/preview/vt2440_vitek_6177a7bc82c3b.jpeg
425445853,Vitek,Отпариватель,VT-2440,149.0,104.3,111.75,30,"Был в эксплуатации, царапины, загрязнения, гарантия по 24.04.2023г.",https://www.21vek.by/garment_steamers/vt2440_vitek.html,https://cdn21vek.by/img/galleries/6885/347/sale/4169689/preview/9222407436687339130.jpg,https://cdn21vek.by/img/galleries/6885/347/preview/vt2440_vitek_6177a7bc82c3b.jpeg
425462453,Vitek,Утюг,VT-8316,99.9,69.93,69.93,30,"Был в эксплуатации, загрязнения, повреждена заводская упаковка, гарантия по 09.03.2023г.",https://www.21vek.by/irons/vt8316_vitek.html,https://cdn21vek.by/img/galleries/855/667/sale/4185681/preview/3914397318835801538.jpg,https://cdn21vek.by/img/galleries/855/667/preview/vt8316_vitek_60abbce727641.jpeg
425442958,Arena,Велосипед,Street 2021,499.0,449.1,449.1,10,"Новый, царапины, потертости.",https://www.21vek.by/bikes/street2021_arena_01.html,https://cdn21vek.by/img/galleries/6318/123/sale/4162816/preview/3719512954462167708.jpg,https://cdn21vek.by/img/galleries/6318/123/preview/street2021_arena_01_611e874c28bc5.jpeg
425463578,Horizont,Накопительный водонагреватель,15EWS-20VB U,385.0,308.0,308.0,20,"Новый, царапины, потертости, сколы на резьбе.",https://www.21vek.by/waterheaters/15ews20vbu_horizont.html,https://cdn21vek.by/img/galleries/992/272/sale/4182183/preview/5535212364437179539.jpg,https://cdn21vek.by/img/galleries/992/272/preview/15ews20vbu_horizont_5ccbffc9010cc.png
425444908,Samsung,Стиральная машина,WW70A4S21CE,1699.0,1359.2,1359.2,20,"Была в эксплуатации, после сервисного обслуживания (замена замка люка), загрязнения, повреждена заводская упаковка, гарантия по 19.04.2024г.",https://www.21vek.by/washing_machines/ww70a4s21ce_samsung.html,https://cdn21vek.by/img/galleries/6948/574/sale/4167206/preview/2546423531262606686.jpg,https://cdn21vek.by/img/galleries/6948/574/preview/ww70a4s21ce_samsung_6156e38aea57d.jpeg
425462963,BiGarden,Кресло подвесное,Gemini Black,664.0,415.2,415.2,37,"Новое, отрвался один поперечный прутик",https://www.21vek.by/garden_furniture/geminiblack_bigarden.html,https://cdn21vek.by/img/galleries/6360/340/sale/4186971/preview/1064913471035162099.jpg,https://cdn21vek.by/img/galleries/6360/340/preview/geminiblack_bigarden_6077ca90816b2.jpeg
425463398,BiGarden,Кресло подвесное,Gemini Black,664.0,415.2,415.2,37,"Новое, нет пружины, нет цепочки, болтов для сборки",https://www.21vek.by/garden_furniture/geminiblack_bigarden.html,https://cdn21vek.by/img/galleries/6360/340/sale/4188572/preview/5052053844041389447.jpg,https://cdn21vek.by/img/galleries/6360/340/preview/geminiblack_bigarden_6077ca90816b2.jpeg
425463613,BiGarden,Кресло подвесное,Gemini Black,664.0,415.2,415.2,37,"Новый, повреждена оплетка, царапина на каркасе чаши",https://www.21vek.by/garden_furniture/geminiblack_bigarden.html,https://cdn21vek.by/img/galleries/6360/340/sale/4190835/preview/3751313527535486430.jpg,https://cdn21vek.by/img/galleries/6360/340/preview/geminiblack_bigarden_6077ca90816b2.jpeg
425422133,Универсал,Ванна чугунная,Грация-У 170x70,1158.0,510.64,510.64,56,"Товар новый. Царапины на ободе со стороны перелива, потертости, загрязнения.",https://www.21vek.by/bathtubs/universal_170x70.html,https://cdn21vek.by/img/galleries/67/435/sale/4040616/preview/6070251689920452032.jpg,https://cdn21vek.by/img/galleries/67/435/preview/universal_170x70_5d0cc615f204c.jpeg
425467043,Универсал,Ванна чугунная,Грация-У 170x70,1158.0,510.64,868.5,56,"Недолив эмали на сливе, скол на углу",https://www.21vek.by/bathtubs/universal_170x70.html,https://cdn21vek.by/img/galleries/67/435/sale/4196778/preview/6898472765450612226.jpg,https://cdn21vek.by/img/galleries/67/435/preview/universal_170x70_5d0cc615f204c.jpeg
425462833,Xaos,Самокат,Chevy 110,159.0,116.1,116.1,27,"Новый, упаковка нетоварного вида.",https://www.21vek.by/kids_scooter/chevy110_xaos.html,https://cdn21vek.by/img/galleries/6315/663/sale/4186602/preview/831809802995980424.jpg,https://cdn21vek.by/img/galleries/6315/663/preview/chevy110_xaos_605ae824c227a.jpeg
425468313,Renova,Стиральная машина,WS-30ET,211.0,158.25,158.25,25,"Была в эксплуатации, загрязнения, повреждена заводская упаковка, гарантия по 02.05.2023г.",https://www.21vek.by/washing_machines/ws30et_renova.html,https://cdn21vek.by/img/galleries/171/221/sale/4180318/preview/3273514268133914588.jpg,https://cdn21vek.by/img/galleries/171/221/preview/ws30et_renova_5cc19d084c099.jpeg
425462688,Endever,Пылесос,Skyclean VC-560,258.76,167.3,203.15,21,"Новый, после сервисного обслуживания (ремонт защелки колбы), царапины, повреждена заводская упаковка, полная гарантия.",https://www.21vek.by/vacuum/skycleanvc560_endever.html,https://cdn21vek.by/img/galleries/427/517/sale/4186195/preview/374495661353967413.jpg,https://cdn21vek.by/img/galleries/427/517/preview/skycleanvc560_endever_58b7fa31acbde.jpeg
425467228,Endever,Пылесос,Skyclean VC-560,258.76,167.3,167.3,21,"Был в эксплуатации, царапины, загрязнения, повреждена заводская упаковка, гарантия по 30.04.2023г.",https://www.21vek.by/vacuum/skycleanvc560_endever.html,https://cdn21vek.by/img/galleries/427/517/sale/4197132/preview/9093445072456266969.jpg,https://cdn21vek.by/img/galleries/427/517/preview/skycleanvc560_endever_58b7fa31acbde.jpeg
425445498,Kitfort,Пароочиститель,KT-1004-3,174.0,121.8,121.8,30,"Был в эксплуатации, царапины, загрязнения, гарантия по 23.04.2023г.",https://www.21vek.by/steam_cleaner/kt10043_kitfort.html,https://cdn21vek.by/img/galleries/544/913/sale/4168003/preview/1310096017328488746.jpg,https://cdn21vek.by/img/galleries/544/913/preview/kt10043_kitfort_62612dff7b9e1.jpeg
425464368,Kitfort,Пароочиститель,KT-1004-3,174.0,121.8,121.8,30,"Был в эксплуатации, после сервисного обслуживания (замена патрубка), царапины, загрязнения, гарантия по 22.03.2023г.",https://www.21vek.by/steam_cleaner/kt10043_kitfort.html,https://cdn21vek.by/img/galleries/544/913/sale/4192072/preview/8146599484815037019.jpg,https://cdn21vek.by/img/galleries/544/913/preview/kt10043_kitfort_62612dff7b9e1.jpeg
425446158,Woodcraft,Диван,Парма,700.14,455.09,455.09,35,"Был в эксплуатации, просел наполнитель и загрязнение на основной части. Гарантия 14 дней",https://www.21vek.by/cushioned_furniture/woodcraft_0228.html,https://cdn21vek.by/img/galleries/557/309/sale/4171005/preview/8424362743846664821.jpg,https://cdn21vek.by/img/galleries/557/309/preview/woodcraft_0228_5eb402cdd2654.png
425422838,Globex,Умные часы,Smart Watch Me 3 V77,150.93,77.4,86.43,43,"Были в эксплуатации, после сервисного обслуживания, потертости. Гарантия до 17.04.2023г.",https://www.21vek.by/smart_watches/smartwatchme3v77_03.html,https://cdn21vek.by/img/galleries/6796/255/sale/4136578/preview/3627917766453198154.jpg,https://cdn21vek.by/img/galleries/6796/255/preview/smartwatchme3v77_03_61233f0d81e16.jpeg
425444618,Globex,Умные часы,Smart Watch Me 3 V77,150.93,77.4,109.65,43,"Новые, царапины. Гарантия до 28.04.2023г.",https://www.21vek.by/smart_watches/smartwatchme3v77_03.html,https://cdn21vek.by/img/galleries/6796/255/sale/4166053/preview/3453566359969905958.jpg,https://cdn21vek.by/img/galleries/6796/255/preview/smartwatchme3v77_03_61233f0d81e16.jpeg
425464838,Globex,Умные часы,Smart Watch Me 3 V77,150.93,77.4,77.4,43,"Были в эксплуатации, после сервисного обслуживания, потертости. Гарантия до 23.01.2023г.",https://www.21vek.by/smart_watches/smartwatchme3v77_03.html,https://cdn21vek.by/img/galleries/6796/255/sale/4072614/preview/7960974950315425317.jpg,https://cdn21vek.by/img/galleries/6796/255/preview/smartwatchme3v77_03_61233f0d81e16.jpeg
425446143,Indesit,Холодильник с морозильником,ITS 4180 S,1399.0,1259.1,1259.1,10,"Новый, вмятины на решетке задней стенки, повреждена заводская упаковка, полная гарантия.",https://www.21vek.by/refrigerators/its4180s_indesit.html,https://cdn21vek.by/img/galleries/6378/261/sale/4171337/preview/4019029727093634251.jpg,https://cdn21vek.by/img/galleries/6378/261/preview/its4180s_indesit_6024dd16da703.jpeg
425450353,Bambini,Детская кроватка,М.01.10.11,285.0,171.0,171.0,40,"Новая, повреждена одна спинка. Без гарантии",https://www.21vek.by/baby_cots/011003new_bambini.html,https://cdn21vek.by/img/galleries/101/344/sale/4181678/preview/7770420454664281356.jpg,https://cdn21vek.by/img/galleries/101/344/preview/011003new_bambini_5d30261fabc6c.jpeg
425462853,Bambini,Детская кроватка,М.01.10.11,285.0,171.0,199.5,40,"Новая, дефекты покрытия на детали №3Д, скол на №5Д",https://www.21vek.by/baby_cots/011003new_bambini.html,https://cdn21vek.by/img/galleries/101/344/sale/4186820/preview/7628026106519937155.jpg,https://cdn21vek.by/img/galleries/101/344/preview/011003new_bambini_5d30261fabc6c.jpeg
425413658,Bosch,Мясорубка электрическая,MFW3630A,365.0,197.1,197.1,46,"Была в эксплуатации, после сервисного обслуживания (замена муфты), царапины, загрязнения, гарантия 3 месяца.",https://www.21vek.by/meat_grinders/mfw3630a_bosch.html,https://cdn21vek.by/img/galleries/350/270/sale/4115300/preview/514689248543934407.jpg,https://cdn21vek.by/img/galleries/350/270/preview/mfw3630a_bosch_570cbc917b7d9.jpeg
423576139,Boneco Air-O-Swiss,Ультразвуковой увлажнитель воздуха,U350,440.0,145.2,184.8,58,"Был в эксплуатации, после сервиса, царапины,  гарантия 3 месяца.",https://www.21vek.by/humidifiers/u350_boneco.html,https://cdn21vek.by/img/galleries/515/290/sale/3949411/preview/7442693404192478165.jpg,https://cdn21vek.by/img/galleries/515/290/preview/u350_boneco_5c2c5537d0e66.jpeg
423578215,Boneco Air-O-Swiss,Ультразвуковой увлажнитель воздуха,U350,440.0,145.2,145.2,58,"Был в эксплуатации, после сервиса, царапины, гарантия до 04.04.2023г.",https://www.21vek.by/humidifiers/u350_boneco.html,https://cdn21vek.by/img/galleries/515/290/sale/3820957/preview/5983755243964197471.jpg,https://cdn21vek.by/img/galleries/515/290/preview/u350_boneco_5c2c5537d0e66.jpeg
425180775,Boneco Air-O-Swiss,Ультразвуковой увлажнитель воздуха,U350,440.0,145.2,162.8,58,"Был в эксплуатации, после сервиса, царапины, гарантия до 11.12.2023г.",https://www.21vek.by/humidifiers/u350_boneco.html,https://cdn21vek.by/img/galleries/515/290/sale/3811295/preview/1249296197582507818.jpg,https://cdn21vek.by/img/galleries/515/290/preview/u350_boneco_5c2c5537d0e66.jpeg
425467128,Boneco Air-O-Swiss,Ультразвуковой увлажнитель воздуха,U350,440.0,145.2,396.0,58,"Новый, нет заводской упаковки.",https://www.21vek.by/humidifiers/u350_boneco.html,https://cdn21vek.by/img/galleries/515/290/sale/4197074/preview/2911460655805583699.jpg,https://cdn21vek.by/img/galleries/515/290/preview/u350_boneco_5c2c5537d0e66.jpeg
425420873,Sundays,Автохолодильник,SN-32,330.0,178.2,198.99,40,"Новый, вмятина, трещина на крышке.",https://www.21vek.by/bags_refrigerators/sn32_sundays.html,https://cdn21vek.by/img/galleries/6415/329/sale/4132775/preview/5721485901975730142.jpg,https://cdn21vek.by/img/galleries/6415/329/preview/sn32_sundays_60c9e0386ed21.jpeg
425452698,Sundays,Автохолодильник,SN-32,330.0,178.2,178.2,40,"Новый, вмятина на крышке.",https://www.21vek.by/bags_refrigerators/sn32_sundays.html,https://cdn21vek.by/img/galleries/6415/329/sale/4105407/preview/7339621273257570284.jpg,https://cdn21vek.by/img/galleries/6415/329/preview/sn32_sundays_60c9e0386ed21.jpeg
425448778,Scarlett,Масляный радиатор,SC 21.1507 S4,156.0,103.2,103.2,34,"Новый, погнуты секции.",https://www.21vek.by/heaters/sc211507s4_scarlett.html,https://cdn21vek.by/img/galleries/6940/131/sale/4178485/preview/5622749313417585330.jpg,https://cdn21vek.by/img/galleries/6940/131/preview/sc211507s4_scarlett_61532bb7a096d.jpeg
