Артикул распродажи,Наименование,Бренд,Модель,Полная цена,Обычная цена,Цена распродажи,Скидка в %,Описание,Ссылка на товар,Изображение уцененного,Обычное изображение
425441828,Philips,Утюг,DST5020/30,189.0,141.75,141.75,25,"Был в эксплуатации, царапин на подошве, загрязнения, гарантия по 20.04.2023г.",https://www.21vek.by/irons/dst502030_philips.html,https://cdn21vek.by/img/galleries/6484/662/sale/4160635/preview/6626707421061504115.jpg,https://cdn21vek.by/img/galleries/6484/662/preview/dst502030_philips_6082986c8a477.jpeg
425447703,Philips,Утюг,DST5020/30,189.0,141.75,170.1,25,"Новый, загрязнения, гарантия по 22.04.2023г.",https://www.21vek.by/irons/dst502030_philips.html,https://cdn21vek.by/img/galleries/6484/662/sale/4160867/preview/3896604234661006201.jpg,https://cdn21vek.by/img/galleries/6484/662/preview/dst502030_philips_6082986c8a477.jpeg
425448588,Rinner,Шкаф,Тиффани М35 угловой,810.98,689.33,689.33,15,"Новый, скол на боковине",https://www.21vek.by/cupboards/35_rinner.html,https://cdn21vek.by/img/galleries/6065/436/sale/4177422/preview/830757910491433482.jpg,https://cdn21vek.by/img/galleries/6065/436/preview/35_rinner_5f68776dcaed3.jpeg
425450203,Huter,Мойка высокого давления,M135-РW,362.0,271.5,271.5,25,"Была немного в эксплуатации, после серивного обслуживания (ремонт цепи питания). Царапины. Гарантия до 22.04.2023г.",https://www.21vek.by/pressure_washers/m135w_huter.html,https://cdn21vek.by/img/galleries/5894/245/sale/4181335/preview/2080438593171534550.jpg,https://cdn21vek.by/img/galleries/5894/245/preview/m135w_huter_60d9884529753.jpeg
425464513,Oasis,Мойка высокого давления,MD-20N,466.74,373.39,373.39,20,"Новая, шланг от другой модели, сколы.",https://www.21vek.by/pressure_washers/md20n_oasis.html,https://cdn21vek.by/img/galleries/5711/575/sale/4192246/preview/5045346222246765186.jpg,https://cdn21vek.by/img/galleries/5711/575/preview/md20n_oasis_5e3a7c6049dad.jpeg
425464413,Ballu,Конвектор,Camino Eco Turbo BEC/EMT-1500,181.0,135.75,135.75,25,"Был в эксплуатации, после сервиса, царапины, гарантия до 29.11.2023г.",https://www.21vek.by/heaters/caminoecoturbobecemt1500_ballu.html,https://cdn21vek.by/img/galleries/6566/712/sale/4192232/preview/3269379827237579296.jpg,https://cdn21vek.by/img/galleries/6566/712/preview/caminoecoturbobecemt1500_ballu_60b09d5b70ae4.jpeg
425447998,Мастерица,Сковорода,46682614,25.0,17.5,17.5,30,"Новая, вмятины и царапины, без гарантии.",https://www.21vek.by/frying_pans/46682614_masterica.html,https://cdn21vek.by/img/galleries/6957/448/sale/4177152/preview/2634011646135878823.jpg,https://cdn21vek.by/img/galleries/6957/448/preview/46682614_masterica_6171310015bf9.jpeg
425448038,Мастерица,Сковорода,46682614,25.0,17.5,17.5,30,"Новая, вмятины и царапины, без гарантии.",https://www.21vek.by/frying_pans/46682614_masterica.html,https://cdn21vek.by/img/galleries/6957/448/sale/4177130/preview/8265581258564302221.jpg,https://cdn21vek.by/img/galleries/6957/448/preview/46682614_masterica_6171310015bf9.jpeg
425443878,MFMaster,Письменный стол,Уно-5 / МСТ-УСК-05-ДС-16,208.71,104.36,104.36,50,"Новый, частично собирался, возможны трудности со сборкой (неторые отверстия не совпадают). Без гарантии",https://www.21vek.by/office_desks/50516_mfmaster_036.html,https://cdn21vek.by/img/galleries/6438/366/sale/4163908/preview/8938552073778078892.jpg,https://cdn21vek.by/img/galleries/6438/366/preview/50516_mfmaster_036_60532cb57b386.jpeg
425443233,Swat,Бездисковая автомагнитола,MEX-1015UBW,79.0,59.25,59.25,25,"Была в эксплуатации, после сервиса, царапины, гарантия до 25.09.2022г.",https://www.21vek.by/cars_audio/mex1015ubw_swat.html,https://cdn21vek.by/img/galleries/420/591/sale/4162744/preview/5322855324354564133.jpg,https://cdn21vek.by/img/galleries/420/591/preview/mex1015ubw_swat_589c734d18ac2.jpeg
425420113,СанитаМебель,Шкаф с зеркалом для ванной,Камелия-12.70 Д3,251.16,168.28,168.28,33,Потертости на ручке двери. Нет одной стеклянной полочки внутри шкафа.,https://www.21vek.by/bathroom_furniture/12703_sanitamebel_02.html,https://cdn21vek.by/img/galleries/414/156/sale/4131793/preview/5346077483538179864.jpg,https://cdn21vek.by/img/galleries/414/156/preview/12703_sanitamebel_02_58773252c3677.jpeg
